TRINITY_DN137_c0_g1_i1 sp|Q03567|SL172_CAEEL
TRINITY_DN74034_c1_g2_i2 sp|P26883|FKB1A_MOUSE
TRINITY_DN74034_c2_g1_i7 sp|Q8C854|MYEF2_MOUSE
TRINITY_DN74051_c0_g1_i1 sp|Q58DW2|CGL_BOVIN
TRINITY_DN74058_c0_g1_i1 sp|Q9VVY3|GBS76_DROME
TRINITY_DN74053_c0_g1_i1 sp|Q8MU52|GST_PLAFA
TRINITY_DN74053_c1_g2_i8 sp|Q4ZJM9|C1QL4_MOUSE
TRINITY_DN74059_c1_g1_i3 sp|Q9C0G6|DYH6_HUMAN
TRINITY_DN74066_c0_g1_i4 sp|Q8BZQ2|CRLD2_MOUSE
TRINITY_DN74064_c0_g1_i6 sp|Q6ZMY6|WDR88_HUMAN
TRINITY_DN74067_c0_g1_i5 sp|O94966|UBP19_HUMAN
TRINITY_DN74071_c1_g1_i7 sp|Q8VIK1|SNR25_MOUSE
TRINITY_DN74073_c1_g1_i3 sp|O62742|NLTP_RABIT
TRINITY_DN74078_c0_g1_i1 sp|O88736|DHB7_MOUSE
TRINITY_DN74083_c0_g1_i1 sp|A3KPP4|S2535_DANRE
TRINITY_DN74070_c1_g1_i8 sp|A8MYZ0|MIY4B_HUMAN
TRINITY_DN74080_c0_g2_i1 sp|P22374|DPOM_ASCIM
TRINITY_DN74085_c0_g1_i5 sp|Q9Y672|ALG6_HUMAN
TRINITY_DN74061_c1_g2_i1 sp|Q15582|BGH3_HUMAN
TRINITY_DN74061_c1_g3_i1 sp|Q15582|BGH3_HUMAN
TRINITY_DN74061_c2_g1_i6 sp|P14381|YTX2_XENLA
TRINITY_DN74061_c2_g2_i1 sp|O00370|LORF2_HUMAN
TRINITY_DN74091_c0_g1_i4 sp|P0C2W5|GBRB2_BOVIN
TRINITY_DN74032_c0_g1_i3 sp|B5XBI1|IF43A_SALSA
TRINITY_DN74097_c0_g1_i2 sp|Q91V01|MBOA5_MOUSE
TRINITY_DN74141_c0_g1_i2 sp|O70249|OGG1_RAT
TRINITY_DN74137_c3_g1_i3 sp|Q39A44|BETA_BURL3
TRINITY_DN74146_c0_g1_i3 sp|Q8JHZ8|PALD_CHICK
TRINITY_DN74122_c1_g2_i2 sp|P70031|CCKAR_XENLA
TRINITY_DN74199_c1_g1_i5 sp|Q9TUD6|FUT1_PANTR
TRINITY_DN74199_c2_g1_i1 sp|Q0WYX8|MDGA1_CHICK
TRINITY_DN74179_c0_g1_i1 sp|P11369|LORF2_MOUSE
TRINITY_DN74101_c3_g1_i3 sp|Q9UBS8|RNF14_HUMAN
TRINITY_DN74147_c1_g1_i2 sp|Q24118|PIGE_DROME
TRINITY_DN74154_c4_g1_i1 sp|Q7KSC4|MPC1_DROME
TRINITY_DN74106_c0_g1_i3 sp|Q6P5H6|FRMD5_MOUSE
TRINITY_DN74106_c0_g3_i1 sp|A2A2Y4|FRMD3_HUMAN
TRINITY_DN74112_c1_g1_i2 sp|Q8R480|NUP85_MOUSE
TRINITY_DN74121_c2_g1_i3 sp|Q6NXT6|TAPT1_HUMAN
TRINITY_DN74115_c1_g1_i1 sp|P24862|CCNB_PATVU
TRINITY_DN74115_c1_g2_i3 sp|Q6Q1P3|KCNKI_RAT
TRINITY_DN74120_c0_g1_i1 sp|Q4N4N8|TXND_THEPA
TRINITY_DN74128_c2_g1_i1 sp|Q5E9P5|PAMR1_BOVIN
TRINITY_DN74151_c0_g1_i2 sp|P21447|MDR1A_MOUSE
TRINITY_DN74133_c1_g2_i2 sp|Q6NXP6|NXRD1_HUMAN
TRINITY_DN74132_c0_g1_i3 sp|O96006|ZBED1_HUMAN
TRINITY_DN74130_c0_g1_i3 sp|Q09288|YQK4_CAEEL
TRINITY_DN74130_c0_g2_i1 sp|Q09288|YQK4_CAEEL
TRINITY_DN74130_c1_g1_i7 sp|Q09288|YQK4_CAEEL
TRINITY_DN74142_c0_g1_i1 sp|Q5XXB5|MSH2_CHLAE
TRINITY_DN74140_c0_g1_i3 sp|Q1LYE3|ZN143_DANRE
TRINITY_DN74157_c2_g1_i1 sp|Q3URF8|KCD21_MOUSE
TRINITY_DN74155_c3_g1_i1 sp|O13936|SPT5_SCHPO
TRINITY_DN74148_c1_g1_i1 sp|P62138|PP1A_RAT
TRINITY_DN74156_c0_g1_i2 sp|O08863|BIRC3_MOUSE
TRINITY_DN74118_c1_g1_i3 sp|P0C6B8|SVEP1_RAT
TRINITY_DN74160_c4_g2_i2 sp|Q9I927|FUCL5_ANGJA
TRINITY_DN74168_c0_g1_i4 sp|P54281|CLCA1_BOVIN
TRINITY_DN74150_c2_g1_i3 sp|O43719|HTSF1_HUMAN
TRINITY_DN74165_c0_g2_i5 sp|Q642M9|DHDH_DANRE
TRINITY_DN74165_c0_g1_i7 sp|Q6DF30|DHDH_XENTR
TRINITY_DN74158_c2_g1_i1 sp|Q08BJ2|KHDR2_DANRE
TRINITY_DN74175_c0_g1_i5 sp|O94362|YHOF_SCHPO
TRINITY_DN74171_c0_g1_i4 sp|Q7T0L6|CCNF_XENLA
TRINITY_DN74167_c0_g1_i5 sp|Q8NG66|NEK11_HUMAN
TRINITY_DN74162_c2_g1_i1 sp|A1YG61|EHF_PANPA
TRINITY_DN74180_c2_g1_i3 sp|Q8WZ42|TITIN_HUMAN
TRINITY_DN74189_c6_g1_i1 sp|Q95JD5|ST1B1_CANLF
TRINITY_DN74177_c0_g2_i1 sp|Q0P5C0|LMF1_BOVIN
TRINITY_DN74190_c0_g1_i2 sp|P85971|6PGL_RAT
TRINITY_DN74183_c0_g1_i1 sp|Q8I7J4|COQ2_CAEEL
TRINITY_DN74134_c2_g2_i1 sp|Q28653|2A5D_RABIT
TRINITY_DN74134_c2_g1_i12 sp|Q28653|2A5D_RABIT
TRINITY_DN74192_c2_g1_i2 sp|Q0VAA2|LR74A_HUMAN
TRINITY_DN74184_c0_g2_i4 sp|Q9VTK2|POMT1_DROME
TRINITY_DN74195_c0_g1_i2 sp|P10076|ZFP26_MOUSE
TRINITY_DN74197_c0_g1_i1 sp|Q1LYM6|KLH38_DANRE
TRINITY_DN74185_c2_g3_i5 sp|P11442|CLH1_RAT
TRINITY_DN74188_c1_g1_i1 sp|Q8ITC7|CAPAR_DROME
TRINITY_DN74188_c1_g2_i4 sp|Q9H8W5|TRI45_HUMAN
TRINITY_DN74181_c2_g1_i1 sp|Q99M03|RWD2B_MOUSE
TRINITY_DN74296_c2_g1_i3 sp|A7MBB8|DOK2_BOVIN
TRINITY_DN74247_c0_g1_i3 sp|Q16706|MA2A1_HUMAN
TRINITY_DN74300_c0_g1_i1 sp|Q8K203|NEIL3_MOUSE
TRINITY_DN74203_c1_g1_i1 sp|O57590|SURF4_TAKRU
TRINITY_DN74208_c0_g1_i1 sp|Q9DE46|DPOLA_XENLA
TRINITY_DN74211_c0_g1_i1 sp|Q075B4|CASPC_CANLF
TRINITY_DN74206_c6_g1_i3 sp|Q8SQ34|TNR5_PIG
TRINITY_DN74218_c0_g1_i8 sp|Q8WV92|MITD1_HUMAN
TRINITY_DN74213_c0_g1_i4 sp|Q5BJE1|CC178_HUMAN
TRINITY_DN74212_c0_g1_i1 sp|Q9NYK1|TLR7_HUMAN
TRINITY_DN74221_c0_g1_i1 sp|O73817|PSB3_ONCMY
TRINITY_DN74250_c0_g1_i1 sp|Q54468|CHB_SERMA
TRINITY_DN74224_c0_g1_i10 sp|P40338|VHL_MOUSE
TRINITY_DN74219_c0_g1_i3 sp|P70627|FOLH1_RAT
TRINITY_DN74261_c0_g1_i4 sp|Q9MZ03|CD38_RABIT
TRINITY_DN74230_c0_g1_i4 sp|P98167|SSPO_BOVIN
TRINITY_DN74239_c1_g2_i2 sp|P02556|TBB_LYTPI
TRINITY_DN74239_c1_g5_i1 sp|Q6AYE3|TAD2A_RAT
TRINITY_DN74205_c0_g1_i5 sp|Q5FVF4|TM7S3_RAT
TRINITY_DN74234_c9_g1_i4 sp|Q680A5|KPRS4_ARATH
TRINITY_DN74252_c1_g3_i3 sp|Q92576|PHF3_HUMAN
TRINITY_DN74246_c0_g1_i6 sp|Q9VY86|TM2D2_DROME
TRINITY_DN74256_c0_g1_i2 sp|Q99LM2|CK5P3_MOUSE
TRINITY_DN74255_c3_g1_i1 sp|Q91ZN5|S35B2_MOUSE
TRINITY_DN74253_c0_g1_i1 sp|Q2IEC3|T23O_ANADE
TRINITY_DN74253_c0_g2_i2 sp|P27446|FYN_XIPHE
TRINITY_DN74249_c0_g1_i2 sp|B0JZG0|S23A2_XENTR
TRINITY_DN74260_c1_g1_i3 sp|Q8BKW4|ZCHC4_MOUSE
TRINITY_DN74265_c3_g1_i2 sp|P60670|NPL4_MOUSE
TRINITY_DN74262_c0_g2_i1 sp|Q8TE56|ATS17_HUMAN
TRINITY_DN74269_c2_g1_i1 sp|Q91857|TAF6_XENLA
TRINITY_DN74271_c0_g1_i2 sp|O62742|NLTP_RABIT
TRINITY_DN74248_c0_g1_i2 sp|P16912|KDC2_DROME
TRINITY_DN74277_c0_g2_i6 sp|P12337|EST1_RABIT
TRINITY_DN74278_c1_g1_i1 sp|Q5E9H5|BCS1_BOVIN
TRINITY_DN74282_c1_g1_i6 sp|Q96PE7|MCEE_HUMAN
TRINITY_DN74289_c0_g1_i2 sp|Q9Y4Z0|LSM4_HUMAN
TRINITY_DN74286_c1_g3_i1 sp|Q5XJW2|G45IP_RAT
TRINITY_DN74299_c3_g1_i3 sp|Q5TB30|DEP1A_HUMAN
TRINITY_DN74297_c2_g1_i6 sp|Q8JHV9|BIR7A_XENLA
TRINITY_DN74290_c1_g3_i2 sp|Q4R6Y6|SNPC3_MACFA
TRINITY_DN74290_c1_g1_i3 sp|Q25434|FP1_MYTCO
TRINITY_DN74358_c0_g1_i2 sp|O70240|AXIN2_RAT
TRINITY_DN74343_c0_g1_i6 sp|O93477|SAHHB_XENLA
TRINITY_DN74307_c1_g1_i1 sp|Q9D8W5|PSD12_MOUSE
TRINITY_DN74356_c0_g1_i1 sp|P08548|LIN1_NYCCO
TRINITY_DN74356_c1_g2_i1 sp|Q5SVZ6|ZMYM1_HUMAN
TRINITY_DN74309_c0_g1_i2 sp|Q8L7W2|NUDT8_ARATH
TRINITY_DN74301_c0_g1_i12 sp|G3V9D0|PGLT1_RAT
TRINITY_DN74312_c4_g2_i3 sp|Q3KRG3|TSR2_DANRE
TRINITY_DN74312_c4_g3_i2 sp|Q4VBI7|STX18_DANRE
TRINITY_DN74337_c0_g1_i6 sp|Q5T1A1|DCST2_HUMAN
TRINITY_DN74311_c1_g1_i2 sp|Q9Y264|ANGP4_HUMAN
TRINITY_DN74341_c0_g1_i2 sp|Q6FFY1|UBIG_ACIAD
TRINITY_DN74315_c1_g1_i1 sp|Q5ZJP7|KCTD7_CHICK
TRINITY_DN74315_c1_g3_i1 sp|Q8TCT0|CERK1_HUMAN
TRINITY_DN74318_c0_g1_i2 sp|Q6TFL4|KLH24_HUMAN
TRINITY_DN74390_c4_g1_i2 sp|Q9BX70|BTBD2_HUMAN
TRINITY_DN74313_c0_g1_i1 sp|Q8C522|ENDD1_MOUSE
TRINITY_DN74324_c0_g1_i1 sp|P50226|ST1A2_HUMAN
TRINITY_DN74314_c0_g1_i17 sp|O35643|AP1B1_MOUSE
TRINITY_DN74332_c0_g1_i12 sp|Q6TGZ4|THA11_DANRE
TRINITY_DN74325_c1_g1_i1 sp|Q03112|MECOM_HUMAN
TRINITY_DN74325_c1_g3_i1 sp|P14404|MECOM_MOUSE
TRINITY_DN74325_c1_g2_i5 sp|Q03112|MECOM_HUMAN
TRINITY_DN74329_c1_g1_i4 sp|Q6WKZ4|RFIP1_HUMAN
TRINITY_DN74328_c0_g1_i3 sp|Q9JIH7|WNK1_RAT
TRINITY_DN74339_c5_g1_i4 sp|P50906|TCTP_PEA
TRINITY_DN74335_c1_g1_i6 sp|Q0V9J5|EIF1A_XENTR
TRINITY_DN74338_c0_g1_i5 sp|O88956|PLPP1_CAVPO
TRINITY_DN74344_c2_g1_i2 sp|Q24407|ATP5J_DROME
TRINITY_DN74355_c0_g1_i3 sp|Q9D6M3|GHC1_MOUSE
TRINITY_DN74357_c0_g1_i2 sp|Q89703|POL_CSVMV
TRINITY_DN74359_c3_g1_i1 sp|B2KI79|DOPP1_RHIFE
TRINITY_DN74366_c1_g2_i2 sp|P06857|LIPR1_CANLF
TRINITY_DN74363_c0_g1_i10 sp|O75445|USH2A_HUMAN
TRINITY_DN74364_c0_g1_i1 sp|A6BM72|MEG11_HUMAN
TRINITY_DN74360_c1_g4_i2 sp|P28271|ACOC_MOUSE
TRINITY_DN74368_c5_g1_i2 sp|P33509|NU3M_ANOQU
TRINITY_DN74333_c0_g1_i1 sp|B0JZG0|S23A2_XENTR
TRINITY_DN74345_c4_g1_i6 sp|Q641Z6|EHD1_RAT
TRINITY_DN74374_c0_g1_i2 sp|Q2S2F5|KYNB_SALRD
TRINITY_DN74372_c7_g1_i1 sp|Q7JUX9|MRRP1_DROME
TRINITY_DN74376_c0_g2_i6 sp|O35134|RPA1_MOUSE
TRINITY_DN74376_c0_g4_i4 sp|O14756|H17B6_HUMAN
TRINITY_DN74377_c3_g1_i4 sp|Q5BK01|MET24_RAT
TRINITY_DN74330_c3_g1_i7 sp|Q3TMH2|SCRN3_MOUSE
TRINITY_DN74375_c0_g1_i4 sp|O34355|YTCJ_BACSU
TRINITY_DN74378_c0_g2_i4 sp|Q54KA7|SECG_DICDI
TRINITY_DN74378_c0_g1_i4 sp|Q54KA7|SECG_DICDI
TRINITY_DN74382_c2_g1_i2 sp|P08953|TOLL_DROME
TRINITY_DN74383_c0_g2_i3 sp|Q6DKE0|DHDH_XENLA
TRINITY_DN74385_c0_g1_i1 sp|Q2T9K6|FEM1C_XENLA
TRINITY_DN74387_c1_g2_i1 sp|Q9NZ20|PA2G3_HUMAN
TRINITY_DN74396_c0_g2_i1 sp|Q08C93|ABD12_DANRE
TRINITY_DN74391_c0_g1_i2 sp|Q5ZJB4|IKKA_CHICK
TRINITY_DN74371_c0_g1_i17 sp|Q0VC33|TSN11_BOVIN
TRINITY_DN74397_c2_g1_i2 sp|P51397|DAP1_HUMAN
TRINITY_DN74397_c3_g1_i1 sp|P17972|KCNAW_DROME
TRINITY_DN74433_c3_g1_i8 sp|Q8K430|KLH17_RAT
TRINITY_DN74490_c3_g3_i3 sp|P21329|RTJK_DROFU
TRINITY_DN74411_c0_g1_i2 sp|Q8VCC1|PGDH_MOUSE
TRINITY_DN74407_c1_g5_i1 sp|Q7ZT75|FCN1A_XENLA
TRINITY_DN74407_c1_g2_i6 sp|A2AV25|FBCD1_MOUSE
TRINITY_DN74407_c1_g7_i1 sp|Q15485|FCN2_HUMAN
TRINITY_DN74406_c3_g1_i3 sp|P53817|PA216_RAT
TRINITY_DN74404_c2_g1_i2 sp|P16368|TIMP2_BOVIN
TRINITY_DN74405_c0_g1_i2 sp|O57460|TLL1_DANRE
TRINITY_DN74410_c0_g1_i1 sp|Q99619|SPSB2_HUMAN
TRINITY_DN74410_c1_g2_i1 sp|Q8BJ66|KAZD1_MOUSE
TRINITY_DN74402_c0_g1_i10 sp|P46409|GSTMU_RABIT
TRINITY_DN74450_c1_g1_i1 sp|Q13002|GRIK2_HUMAN
TRINITY_DN74416_c0_g1_i3 sp|Q8VE97|SRSF4_MOUSE
TRINITY_DN74423_c0_g2_i1 sp|Q6DC64|MET16_DANRE
TRINITY_DN74423_c0_g1_i3 sp|Q86W50|MET16_HUMAN
TRINITY_DN74417_c0_g1_i3 sp|O18381|PAX6_DROME
TRINITY_DN74425_c0_g2_i1 sp|Q8BIG4|FBX28_MOUSE
TRINITY_DN74419_c0_g1_i1 sp|A1L2I9|T214B_XENLA
TRINITY_DN74420_c1_g1_i8 sp|Q9D8I1|MZB1_MOUSE
TRINITY_DN74424_c3_g1_i10 sp|Q866E1|FUT1_ALOBE
TRINITY_DN74412_c2_g1_i2 sp|Q9CZJ2|HS12B_MOUSE
TRINITY_DN74422_c0_g1_i4 sp|Q4UMH6|Y381_RICFE
TRINITY_DN74427_c1_g1_i1 sp|P30884|BMP2B_XENLA
TRINITY_DN74435_c2_g3_i5 sp|Q6NRK8|THEM6_XENLA
TRINITY_DN74444_c0_g1_i2 sp|Q9Y6J8|STYL1_HUMAN
TRINITY_DN74444_c1_g3_i1 sp|Q9Y4P3|TBL2_HUMAN
TRINITY_DN74442_c3_g1_i3 sp|Q9D4W2|CK065_MOUSE
TRINITY_DN74446_c2_g1_i3 sp|O60500|NPHN_HUMAN
TRINITY_DN74446_c3_g2_i5 sp|Q9R044|NPHN_RAT
TRINITY_DN74443_c0_g3_i1 sp|Q8VCW8|ACSF2_MOUSE
TRINITY_DN74493_c0_g1_i1 sp|Q865K9|MPRB_PIG
TRINITY_DN74429_c1_g3_i1 sp|Q64464|CP3AD_MOUSE
TRINITY_DN74429_c1_g1_i5 sp|P05183|CP3A2_RAT
TRINITY_DN74429_c1_g2_i3 sp|Q64459|CP3AB_MOUSE
TRINITY_DN74451_c3_g1_i1 sp|Q9QUJ7|ACSL4_MOUSE
TRINITY_DN74452_c0_g1_i1 sp|P41731|CD63_MOUSE
TRINITY_DN74456_c1_g1_i1 sp|Q00651|ITA4_MOUSE
TRINITY_DN74458_c1_g2_i1 sp|Q1XG89|TDR12_BOMMO
TRINITY_DN74457_c3_g1_i12 sp|Q24157|BRN_DROME
TRINITY_DN74431_c0_g1_i7 sp|B6LI37|U722_BRAFL
TRINITY_DN74431_c0_g3_i3 sp|Q9D5S7|LRGUK_MOUSE
TRINITY_DN74459_c0_g1_i1 sp|Q96CB9|NSUN4_HUMAN
TRINITY_DN74434_c0_g2_i1 sp|Q86TP1|PRUN1_HUMAN
TRINITY_DN74471_c2_g1_i4 sp|Q9N1R6|BAT1_RABIT
TRINITY_DN74455_c0_g1_i8 sp|Q6GLP7|BRD9_XENLA
TRINITY_DN74470_c4_g1_i8 sp|Q99JL1|SPEF1_MOUSE
TRINITY_DN74468_c4_g1_i7 sp|Q08AY6|KT5AA_XENLA
TRINITY_DN74481_c0_g1_i1 sp|Q6PFY8|TRI45_MOUSE
TRINITY_DN74469_c3_g1_i2 sp|Q53532|SAV1_STRVL
TRINITY_DN74469_c5_g1_i2 sp|Q9UPN9|TRI33_HUMAN
TRINITY_DN74478_c0_g1_i3 sp|Q8K0U4|HS12A_MOUSE
TRINITY_DN74465_c0_g1_i1 sp|Q03017|CACT_DROME
TRINITY_DN74477_c0_g1_i1 sp|P09503|DYR_SHV21
TRINITY_DN74477_c1_g1_i1 sp|Q9QXW2|FBXW5_MOUSE
TRINITY_DN74479_c2_g2_i4 sp|Q17551|RPM1_CAEEL
TRINITY_DN74475_c0_g2_i7 sp|Q13231|CHIT1_HUMAN
TRINITY_DN74448_c1_g4_i8 sp|C6FG12|NLRC5_ICTPU
TRINITY_DN74491_c3_g1_i1 sp|Q66H07|FANK1_RAT
TRINITY_DN74430_c0_g1_i12 sp|Q5T1A1|DCST2_HUMAN
TRINITY_DN74494_c0_g1_i6 sp|Q8JZL3|THTPA_MOUSE
TRINITY_DN74496_c4_g2_i1 sp|P15287|AGSA_APLCA
TRINITY_DN74499_c0_g1_i3 sp|H2A0N4|PIF_PINMG
TRINITY_DN74599_c0_g1_i2 sp|Q6NWZ9|CDO1_DANRE
TRINITY_DN74599_c1_g1_i1 sp|Q8N9V6|ANR53_HUMAN
TRINITY_DN74545_c1_g2_i1 sp|Q2XWK0|SVOP_XENLA
TRINITY_DN74583_c1_g1_i5 sp|Q9BRS8|LARP6_HUMAN
TRINITY_DN74592_c2_g1_i1 sp|P35500|SCNA_DROME
TRINITY_DN74503_c0_g2_i5 sp|P83425|HIP_MYTED
TRINITY_DN74502_c2_g1_i2 sp|Q96PY6|NEK1_HUMAN
TRINITY_DN74513_c0_g2_i5 sp|Q68EK2|CALRL_DANRE
TRINITY_DN74509_c0_g1_i2 sp|O94805|ACL6B_HUMAN
TRINITY_DN74593_c1_g1_i1 sp|Q91XT5|BCDO1_RAT
TRINITY_DN74514_c0_g1_i1 sp|P43699|NKX21_HUMAN
TRINITY_DN74514_c0_g2_i2 sp|P22807|SLOU_DROME
TRINITY_DN74507_c0_g1_i1 sp|Q6AW47|EST5A_CANLF
TRINITY_DN74515_c0_g1_i6 sp|Q9N1R6|BAT1_RABIT
TRINITY_DN74521_c0_g2_i1 sp|Q8IZN3|ZDH14_HUMAN
TRINITY_DN74516_c2_g1_i2 sp|P97819|PLPL9_MOUSE
TRINITY_DN74518_c2_g4_i5 sp|P0C7B7|ELIC_DICCH
TRINITY_DN74518_c2_g1_i7 sp|Q99JW2|ACY1_MOUSE
TRINITY_DN74518_c2_g7_i2 sp|P21328|RTJK_DROME
TRINITY_DN74518_c4_g1_i1 sp|Q5UPK9|YL138_MIMIV
TRINITY_DN74527_c0_g1_i4 sp|O95714|HERC2_HUMAN
TRINITY_DN74526_c5_g2_i1 sp|Q28BP2|T150A_XENTR
TRINITY_DN74531_c0_g1_i1 sp|Q1LXS2|PSMG2_DANRE
TRINITY_DN74510_c0_g1_i7 sp|Q9CRB3|HIUH_MOUSE
TRINITY_DN74522_c0_g3_i2 sp|P30404|PPIF_BOVIN
TRINITY_DN74533_c0_g1_i1 sp|P97677|DLL1_RAT
TRINITY_DN74529_c0_g1_i1 sp|P10620|MGST1_HUMAN
TRINITY_DN74529_c2_g1_i5 sp|Q9XGD5|CAMT2_MAIZE
TRINITY_DN74543_c0_g1_i4 sp|Q8JZZ7|AGRL2_MOUSE
TRINITY_DN74559_c0_g1_i1 sp|Q96JK4|HIPL1_HUMAN
TRINITY_DN74554_c6_g2_i1 sp|Q5GH56|XKR7_RAT
TRINITY_DN74558_c0_g2_i1 sp|D7GG24|MSHD_PROFC
TRINITY_DN74558_c0_g3_i1 sp|Q7CXI0|ATSE_AGRFC
TRINITY_DN74558_c0_g5_i1 sp|P39909|BLTD_BACSU
TRINITY_DN74560_c0_g1_i1 sp|Q80T11|USH1G_MOUSE
TRINITY_DN74565_c0_g1_i3 sp|P50430|ARSB_RAT
TRINITY_DN74568_c0_g1_i2 sp|Q96QE2|MYCT_HUMAN
TRINITY_DN74568_c0_g2_i1 sp|Q3UHK1|MYCT_MOUSE
TRINITY_DN74568_c0_g5_i1 sp|Q96QE2|MYCT_HUMAN
TRINITY_DN74573_c1_g7_i1 sp|Q5ZMD4|TRI59_CHICK
TRINITY_DN74567_c0_g1_i2 sp|Q49LS8|XKR6_TETNG
TRINITY_DN74578_c0_g2_i1 sp|Q400C7|AMZ2_RAT
TRINITY_DN74579_c0_g1_i2 sp|P23381|SYWC_HUMAN
TRINITY_DN74581_c8_g1_i4 sp|Q6DRP4|CCM2_DANRE
TRINITY_DN74584_c0_g1_i6 sp|Q8CDM4|CCD73_MOUSE
TRINITY_DN74587_c0_g1_i1 sp|A3KNS9|ARAID_DANRE
TRINITY_DN74588_c0_g1_i4 sp|Q6ZZY0|CRY1_SYLBO
TRINITY_DN74589_c0_g1_i2 sp|P26591|GLRK_LYMST
TRINITY_DN74517_c0_g1_i10 sp|Q18297|TRPA1_CAEEL
TRINITY_DN74636_c1_g2_i2 sp|Q8BGW8|VGLL2_MOUSE
TRINITY_DN74636_c2_g2_i2 sp|O95170|CDRT1_HUMAN
TRINITY_DN74637_c1_g1_i1 sp|Q54KA7|SECG_DICDI
TRINITY_DN74611_c0_g1_i3 sp|Q96B36|AKTS1_HUMAN
TRINITY_DN74648_c5_g1_i1 sp|O35240|ASIC3_RAT
TRINITY_DN74642_c5_g2_i4 sp|Q7YRA3|EXOS4_BOVIN
TRINITY_DN74606_c4_g1_i3 sp|P08953|TOLL_DROME
TRINITY_DN74604_c8_g2_i4 sp|O01814|FABP5_CAEEL
TRINITY_DN74641_c0_g1_i1 sp|Q6P8D9|UBC12_XENTR
TRINITY_DN74612_c0_g1_i1 sp|P79102|CP3AS_BOVIN
TRINITY_DN74605_c1_g1_i3 sp|Q11098|TSP17_CAEEL
TRINITY_DN74609_c2_g1_i19 sp|P49395|RS3A_APLCA
TRINITY_DN74617_c0_g1_i1 sp|P30625|KAPR_CAEEL
TRINITY_DN74661_c0_g2_i1 sp|Q9V477|TOLL8_DROME
TRINITY_DN74693_c0_g1_i2 sp|P86786|GIGA3_CRAGI
TRINITY_DN74618_c6_g1_i1 sp|Q28CJ6|NDEL1_XENTR
TRINITY_DN74607_c4_g4_i1 sp|P08478|AMDA_XENLA
TRINITY_DN74628_c0_g4_i3 sp|Q5F4A1|G2E3_CHICK
TRINITY_DN74623_c0_g2_i1 sp|E2RKN7|FXL15_CANLF
TRINITY_DN74625_c0_g1_i1 sp|Q8NCT1|ARRD4_HUMAN
TRINITY_DN74622_c5_g1_i1 sp|P0C6B8|SVEP1_RAT
TRINITY_DN74613_c0_g1_i5 sp|Q0E908|HIL_DROME
TRINITY_DN74651_c2_g1_i1 sp|Q96JM4|LRIQ1_HUMAN
TRINITY_DN74639_c0_g1_i6 sp|Q99L48|NMD3_MOUSE
TRINITY_DN74638_c2_g1_i2 sp|Q9Y305|ACOT9_HUMAN
TRINITY_DN74635_c0_g1_i3 sp|Q495T6|MMEL1_HUMAN
TRINITY_DN74635_c0_g2_i2 sp|Q9W436|NEP_DROME
TRINITY_DN74643_c1_g1_i3 sp|Q6GQJ2|JADE1_XENLA
TRINITY_DN74677_c0_g3_i1 sp|Q921U8|SMTN_MOUSE
TRINITY_DN74654_c3_g1_i7 sp|Q13162|PRDX4_HUMAN
TRINITY_DN74633_c0_g2_i6 sp|Q9JHX4|CASP8_RAT
TRINITY_DN74655_c0_g1_i2 sp|Q96BD5|PF21A_HUMAN
TRINITY_DN74659_c0_g1_i4 sp|Q6ZUK4|TMM26_HUMAN
TRINITY_DN74671_c0_g1_i6 sp|P07686|HEXB_HUMAN
TRINITY_DN74676_c1_g1_i6 sp|Q9R0D8|WDR54_MOUSE
TRINITY_DN74676_c1_g2_i2 sp|Q9R0D8|WDR54_MOUSE
TRINITY_DN74668_c0_g4_i1 sp|Q24307|DIAP2_DROME
TRINITY_DN74675_c0_g1_i1 sp|Q8NI99|ANGL6_HUMAN
TRINITY_DN74664_c3_g1_i3 sp|Q99L43|CDS2_MOUSE
TRINITY_DN74672_c0_g1_i1 sp|P51174|ACADL_MOUSE
TRINITY_DN74647_c4_g1_i2 sp|A1L3G4|TM241_XENLA
TRINITY_DN74660_c0_g1_i4 sp|Q86DA5|SARM1_CAEEL
TRINITY_DN74667_c1_g2_i1 sp|Q93034|CUL5_HUMAN
TRINITY_DN74684_c0_g1_i2 sp|Q4R5B8|EIF3F_MACFA
TRINITY_DN74683_c0_g3_i1 sp|A9JRX0|MSL1_DANRE
TRINITY_DN74686_c0_g3_i2 sp|Q5T0N1|CFA70_HUMAN
TRINITY_DN74679_c3_g1_i3 sp|Q9CXW3|CYBP_MOUSE
TRINITY_DN74688_c2_g1_i3 sp|Q9WU81|G6PT3_MOUSE
TRINITY_DN74695_c2_g2_i1 sp|Q7ZXP0|TWF2A_XENLA
TRINITY_DN74689_c1_g1_i1 sp|Q8N8U9|BMPER_HUMAN
TRINITY_DN74692_c2_g1_i3 sp|Q5M8Z2|PREY_XENTR
TRINITY_DN74696_c0_g1_i3 sp|Q3UK37|TEDC1_MOUSE
TRINITY_DN74691_c0_g1_i3 sp|Q29411|CH3L1_PIG
TRINITY_DN74691_c1_g1_i3 sp|Q6RY07|CHIA_RAT
TRINITY_DN74687_c0_g1_i4 sp|Q8W4Q5|RIN3_ARATH
TRINITY_DN74737_c0_g1_i2 sp|Q9UHR5|S30BP_HUMAN
TRINITY_DN74702_c0_g1_i1 sp|P35408|PE2R4_HUMAN
TRINITY_DN74723_c0_g1_i7 sp|Q9NP87|DPOLM_HUMAN
